Date,Close/Last,Volume,Open,High,Low
04/25/2024,$441.38,82890740,$421.40,$445.77,$414.50
04/24/2024,$493.50,37772680,$508.06,$510.00,$484.58
04/23/2024,$496.10,15079200,$491.25,$498.76,$488.97
04/22/2024,$481.73,17271130,$489.715,$492.01,$473.40
04/19/2024,$481.07,25215360,$502.80,$502.80,$475.73
04/18/2024,$501.80,14808670,$499.82,$512.21,$499.04
04/17/2024,$494.17,12193740,$503.10,$503.16,$487.14
04/16/2024,$499.76,9847925,$498.11,$504.7699,$497.11
04/15/2024,$500.23,13512890,$516.72,$518.53,$497.28
04/12/2024,$511.90,11984540,$517.75,$520.1899,$509.33
04/11/2024,$523.16,10369470,$521.11,$523.86,$517.29
04/10/2024,$519.83,11418490,$509.29,$522.5599,$505.80
04/09/2024,$516.90,10881450,$522.23,$525.87,$506.74
04/08/2024,$519.25,13260580,$529.28,$531.4899,$518.89
04/05/2024,$527.34,19263270,$516.855,$530.70,$514.4099
04/04/2024,$510.92,26476250,$516.42,$530.00,$510.58
04/03/2024,$506.74,12099170,$498.93,$507.24,$498.75
04/02/2024,$497.37,11081030,$485.10,$497.53,$484.65
04/01/2024,$491.35,9247007,$487.20,$497.43,$481.78
03/28/2024,$485.58,15212760,$492.84,$492.89,$485.15
03/27/2024,$493.86,9989676,$499.30,$499.89,$488.07
03/26/2024,$495.89,11205380,$505.13,$510.00,$495.2137
03/25/2024,$503.02,8380617,$505.79,$507.22,$500.2411
03/22/2024,$509.58,8120593,$507.00,$509.97,$504.34
03/21/2024,$507.76,9712549,$514.71,$515.04,$506.01
03/20/2024,$505.52,11711100,$499.50,$508.1999,$495.17
03/19/2024,$496.24,10903090,$488.17,$496.6296,$481.28
03/18/2024,$496.98,11755250,$491.91,$497.42,$486.81
03/15/2024,$484.10,29153580,$489.01,$491.83,$481.3001
03/14/2024,$491.83,12620010,$500.255,$501.35,$488.16
03/13/2024,$495.57,12090660,$495.39,$500.98,$491.0318
03/12/2024,$499.75,15448230,$493.26,$502.31,$484.73
03/11/2024,$483.59,20428270,$497.01,$497.318,$476.00
03/08/2024,$505.95,18597060,$514.19,$523.57,$499.35
03/07/2024,$512.19,18586440,$503.28,$519.85,$501.38
03/06/2024,$496.09,11757930,$497.63,$502.97,$494.292
03/05/2024,$490.22,15325300,$495.00,$495.58,$487.89
03/04/2024,$498.19,12324140,$503.00,$504.42,$496.42
03/01/2024,$502.30,15884880,$492.11,$504.25,$491.85
02/29/2024,$490.13,17732050,$488.44,$491.70,$482.61
02/28/2024,$484.02,12715490,$485.00,$491.05,$482.75
02/27/2024,$487.05,10809600,$479.975,$487.27,$479.92
02/26/2024,$481.74,12101420,$483.47,$486.14,$480.60
02/23/2024,$484.03,18374290,$488.05,$494.3599,$482.3482
02/22/2024,$486.13,21625810,$480.24,$489.99,$476.0618
02/21/2024,$468.03,12977050,$466.50,$469.00,$461.79
02/20/2024,$471.75,18015520,$469.715,$476.18,$466.56
